ID_obs,StartDate_w1,Sex_parent_w1,Age_Parent_w1,Q6_corrected_w1,Q508a_w1,Q8_corr_woAlD_w1,Q15_1_w1,Q15_2_w1,Q15_3_w1,Q18a_1_w1,Q18a_2_w1,Q18a_3_w1,Q18a_4_w1,Q18a_6_w1,Q18b_8_w1,Q18b_9_w1,Q19_1_w1,Q19_2_w1,Q19_3_w1,Q19_4_w1,Q23_1_w1,Q23_2_w1,Q23_3_w1,Q27a_w1,Q27b_w1,StartDate_w2,Q15_1_w2,Q15_2_w2,Q15_3_w2,Q18a_1_w2,Q18a_2_w2,Q18a_3_w2,Q18a_4_w2,Q18a_6_w2,Q18b_8_w2,Q18b_9_w2,Q19_1_w2,Q19_2_w2,Q19_3_w2,Q19_4_w2,Q23_1_w2,Q23_2_w2,Q23_3_w2,Q27a_w2,Q27b_w2,Q502_w2,male_parent,ba_higher_education,age_parent_imp,region_ad,uae_national,jobloss_covid_ind,duration_days,duration_weeks
1009,15 Oct 20,female,27,,India,Al Ain,3,39,4,4,4,5,4,4,4,4,Agree,Disagree,Disagree,Disagree,Sometimes,Rarely,Never,No,No,08 Mar 21,50,43,1,Good,Good,Good,Good,3,3,3,Agree,Agree,Agree,Agree,,,,,,,No,No,27,No,No,No,144,20.571428
77,23 Oct 20,female,39,8.Doctorate‎/PhD,United Arab Emirates,Abu Dhabi,,60,80,5,3,1,5,4,3,1,Disagree,Disagree,Strongly agree,Strongly agree,Sometimes,Rarely,Never,No,No,29 Mar 21,24,24,20,Good,Excellent,Very good,Very good,2,3,3,Agree,Agree,Agree,Agree,Rarely,Often,Rarely,No,No,No,No,Yes,39,Yes,Yes,No,157,22.428572
1597,09 Oct 20,female,37,4.College,Jordan,Abu Dhabi,39,50,51,4,4,4,4,2,3,3,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,10 Mar 21,60,50,60,Very good,Good,Very good,Very good,3,3,3,Agree,Disagree,Agree,Agree,Sometimes,Sometimes,Rarely,No,No,Yes,No,No,37,Yes,No,No,152,21.714285
1223,02 Nov 20,male,29,3.High School,United Arab Emirates,Abu Dhabi,50,50,40,3,3,3,3,2,2,2,Disagree,Agree,Disagree,Agree,Rarely,Never,Sometimes,No,No,28 Mar 21,53,42,56,Good,Fair,Fair,Good,2,3,2,Agree,Agree,Agree,Agree,Sometimes,Rarely,Sometimes,No,No,Yes,Yes,No,29,Yes,Yes,No,146,20.857143
1464,21 Sep 20,female,40,6.Bachelors Degree,United Arab Emirates,Al Ain,70,29,0,5,4,4,5,2,3,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Sometimes,Rarely,No,No,21 Feb 21,50,30,43,Very good,Good,Good,Very good,3,3,2,Agree,Agree,Disagree,Agree,Never,Never,Never,No,No,No,No,Yes,40,No,Yes,No,153,21.857143
1250,25 Oct 20,prefer not to answer,37,8.Doctorate‎/PhD,United Arab Emirates,Al Ain,49,64,49,3,2,3,4,4,2,2,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,Yes,16 Mar 21,50,50,50,Good,Very good,Fair,Good,3,3,3,Strongly disagree,Disagree,Agree,Agree,Often,All the time,All the time,Yes,Yes,No,No,Yes,37,No,Yes,No,142,20.285715
1410,21 Oct 20,prefer not to answer,35,8.Doctorate‎/PhD,United Arab Emirates,Abu Dhabi,60,64,46,2,3,3,2,3,2,4,Agree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,Yes,No,08 Mar 21,64,34,64,Good,Good,Good,Good,3,3,4,Agree,Disagree,Strongly disagree,Disagree,Never,Rarely,Rarely,No,No,No,No,Yes,35,Yes,Yes,Yes,138,19.714285
425,22 Oct 20,male,32,4.College,Sudan,Abu Dhabi,46,55,50,4,3,4,4,5,4,4,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,24 Mar 21,72,42,57,Good,Good,Good,Good,3,5,5,Agree,Agree,Agree,Agree,Never,Never,Never,,,,Yes,No,32,Yes,No,No,153,21.857143
84,05 Oct 20,prefer not to answer,29,,Egypt,Abu Dhabi,68,58,66,4,3,4,4,2,4,5,Disagree,Strongly disagree,Agree,Strongly disagree,Often,Sometimes,Rarely,No,No,07 Mar 21,39,71,34,Good,Fair,Fair,Very good,4,2,3,Agree,Agree,Disagree,Disagree,Often,Sometimes,Rarely,No,No,No,No,No,29,Yes,No,No,153,21.857143
234,27 Oct 20,female,35,,United Arab Emirates,Abu Dhabi,87,90,75,3,3,3,3,3,4,3,Strongly agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,No,No,23 Mar 21,97,37,39,Very good,Excellent,Excellent,Excellent,4,5,5,Disagree,Disagree,Disagree,Agree,Sometimes,Rarely,All the time,No,No,No,No,No,35,Yes,Yes,No,147,21
